"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0xfa080f371f2b9986dfd0a692da4da343178233d0","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","30,332,732.88886003733512","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xf30e89f30764b089216f10afa3708f3b674e6a5b","26,601.842492913","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x3e8a6726f43e6a7470ff2c99db5b73a2f81afb3d","88,672.80830971","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xa9c5f3b6ecc6ec2c488bc83b73db658bc548570c","53,203.684985826","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x60206b4b0eeefed1c5fb8f755527f72fa872b143","33,695.66715769","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x89d08d6cdbaa8409c99baae2daa3e53fc769ccaf","12,414.193163359","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x8d18cb3b503a053e233e3dcbbb44ca0c2c409c68","25,653.073438362","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xe443e14c1d543512fe9311fe7ff7b5f761243e8b","53,203.684985826","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x637ac1aa703cd906e832ec1309a2a85259587e97","44,336.404154855","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x15bcc4075be6e9d2b60a703d9b19d1572acd9334","26,601.842492913","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x364c3943bc79f774295528312542761bc2598464","88,672.80830971","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xe861569684519e5fd517d0eb3978843645819243","60,297.509650602995","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x41a2d73ba40b9725b53a7395a72fb4365d873152","38,845.530828035","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x5c30477ef77c403e42ec26bc2138be8648dd2646","53,203.684985826","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x4bdb86835007de7cd73cb94e372dc4a7c2478508","21,281.473994331","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x07550ee5cfc21043890e4c913c8d550045f2c5ca","8,867.280830971","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xe4d70fc7af37db7c5144ab005056b8b493dfae24","17,734.561661942","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xbdf17f2bacf0f2e228397cd2230efd89dd2178a4","6,029.7509650599995","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xf4eeb0c21e80576290220f8d331eccbbb904409d","7,093.824664777001","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xa685c9f4d20841dcb94b94e886176c6118613ff3","17,734.561661942","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x0fcb012e85a262bde23cfa3e18a99818c2bd94da","354,691.233238842","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x6cb358ee8b6b8dc47982316d0303f7203231186e","18,116.32178022","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x301b80c75bded4bc3b35da97a0da95303fa40bd5","19,114.423405984002","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x3b9c1fb0fcb42885eddaacc63428923ddda9bc2c","177,345.616619421","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xe7897d96b20a9ba662b12e0ab62e523f85863594","22,327.432845516","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x8f79a9da9032d6ff29dcf185043ad28e0761d2b0","53,203.684985826","Airdrop ERC20"
"0x1b0f16634ea11dfb1e7c1d54b6bc6224567f4f5cb09404340395e66e1882bc44","17292272","1684483919","2023-05-19 08:11:59","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xefd9b41f74de80f8b683d605c4b1868f54648f5c","18,240.648434151","Airdrop ERC20"
